,name,salary,city,exprience,eduction
388,Python/C++资深开发工程,15k-25k ,四川,经验5-10年,本科及以上
389,Python开发工程师,20k-35k ,四川,经验3-5年,本科及以上
390,Python开发工程师,25k-40k ,四川,经验3-5年,本科及以上
391,软件开发工程师-python,7k-9k ,四川,经验不限,本科及以上
392,Python工程师,20k-40k ,四川,经验3-5年,本科及以上
393,python开发工程师-成都,12k-20k·13薪 ,四川,经验3-5年,本科及以上
394,python开发工程师,10k-17k ,四川,经验1-3年,大专及以上
395,Python开发工程师,10k-17k ,四川,经验3-5年,本科及以上
396,python开发工程师,8k-14k ,四川,经验3-5年,本科及以上
397,Python全栈工程师,15k-25k ,四川,经验3-5年,本科及以上
398,python,10k-20k ,四川,经验1-3年,本科及以上
399,python工程师,20k-35k ,四川,经验3-5年,本科及以上
400,python开发工程师,12k-20k ,天津,经验1-3年,本科及以上
401,python工程师,10k-15k ,云南,经验1-3年,硕士及以上
402,python开发工程师,9k-15k ,浙江,经验1-3年,本科及以上
403,全栈开发工程师（Python方向）,20k-40k ,浙江,经验3-5年,本科及以上
404,资深软件开发工程师（Go/Pyt...,20k-40k ,浙江,经验3-5年,本科及以上
405,python开发工程师,12k-24k ,浙江,经验1-3年,大专及以上
406,python高级工程师,15k-30k ,浙江,经验3-5年,本科及以上
407,python后端开发工程师,14k-20k ,浙江,经验3-5年,本科及以上
